label;ts;cpu;temp
mail;2020-10-08 21:44:54.615656;6.0;52.582
mail;2020-10-08 21:44:55.617803;18.4;52.095
mail;2020-10-08 21:44:56.619814;11.5;52.095
mail;2020-10-08 21:44:57.621694;16.1;52.095
mail;2020-10-08 21:44:58.623658;5.6;53.069
mail;2020-10-08 21:44:59.625513;14.2;52.095
mail;2020-10-08 21:45:00.627441;65.3;54.043
mail;2020-10-08 21:45:01.629373;42.8;54.043
mail;2020-10-08 21:45:02.632669;58.7;53.556
mail;2020-10-08 21:45:03.634427;7.4;53.069
mail;2020-10-08 21:45:04.636571;17.4;51.608
mail;2020-10-08 21:45:05.637845;17.3;53.069
mail;2020-10-08 21:45:06.639721;18.1;52.095
mail;2020-10-08 21:45:07.641828;4.8;51.121
mail;2020-10-08 21:45:08.643999;12.5;52.582
mail;2020-10-08 21:45:09.645789;13.4;52.582
mail;2020-10-08 21:45:10.647837;9.3;52.582
mail;2020-10-08 21:45:11.649996;11.3;52.582
mail;2020-10-08 21:45:12.652256;22.3;51.608
mail;2020-10-08 21:45:13.653926;6.8;52.582
mail;2020-10-08 21:45:14.657763;38.3;52.582
mail;2020-10-08 21:45:15.659661;13.2;52.095
mail;2020-10-08 21:45:16.661819;20.8;51.608
mail;2020-10-08 21:45:17.663686;7.5;52.095
mail;2020-10-08 21:45:18.665846;7.5;51.608
mail;2020-10-08 21:45:19.667878;9.0;52.095
mail;2020-10-08 21:45:20.669917;9.5;50.634
mail;2020-10-08 21:45:21.672106;43.1;52.582
mail;2020-10-08 21:45:22.673830;28.0;52.582
mail;2020-10-08 21:45:23.675989;9.7;52.095
mail;2020-10-08 21:45:24.678047;21.5;52.095
mail;2020-10-08 21:45:25.680169;39.8;53.069
mail;2020-10-08 21:45:26.682107;32.5;52.582
mail;2020-10-08 21:45:27.684280;28.8;52.582
mail;2020-10-08 21:45:28.686231;13.3;52.582
mail;2020-10-08 21:45:29.688413;41.4;53.069
mail;2020-10-08 21:45:30.691131;19.9;51.608
mail;2020-10-08 21:45:31.694400;16.6;52.095
mail;2020-10-08 21:45:32.696447;18.9;51.121
mail;2020-10-08 21:45:33.698492;40.2;53.069
mail;2020-10-08 21:45:34.700525;12.5;52.095
mail;2020-10-08 21:45:35.702411;22.3;53.069
mail;2020-10-08 21:45:36.704551;52.8;53.069
mail;2020-10-08 21:45:37.706436;26.6;53.556
mail;2020-10-08 21:45:38.707618;54.4;54.53
mail;2020-10-08 21:45:39.709518;42.5;53.069
mail;2020-10-08 21:45:40.711309;55.9;53.556
mail;2020-10-08 21:45:41.713482;28.3;53.069
mail;2020-10-08 21:45:42.715793;14.3;53.069
mail;2020-10-08 21:45:43.717839;7.8;52.582
mail;2020-10-08 21:45:44.719972;24.4;52.582
mail;2020-10-08 21:45:45.721808;19.5;52.095
mail;2020-10-08 21:45:46.723920;16.5;52.095
mail;2020-10-08 21:45:47.727617;11.7;51.608
mail;2020-10-08 21:45:48.729171;4.8;53.069
mail;2020-10-08 21:45:49.731075;18.2;52.095
mail;2020-10-08 21:45:50.733166;19.3;52.095
mail;2020-10-08 21:45:51.735190;27.4;52.095
mail;2020-10-08 21:45:52.737155;23.4;52.582
mail;2020-10-08 21:45:53.739405;41.7;52.582
mail;2020-10-08 21:45:54.741368;6.7;52.095
mail;2020-10-08 21:45:55.743773;35.7;51.608
mail;2020-10-08 21:45:56.745813;43.0;52.582
mail;2020-10-08 21:45:57.747851;21.4;53.556
mail;2020-10-08 21:45:58.750674;27.1;52.582
mail;2020-10-08 21:45:59.752851;27.5;52.582
mail;2020-10-08 21:46:00.755131;34.9;53.556
mail;2020-10-08 21:46:01.757166;47.1;54.53
mail;2020-10-08 21:46:02.758997;28.6;53.069
mail;2020-10-08 21:46:03.760984;27.1;52.582
mail;2020-10-08 21:46:04.763349;33.2;53.556
mail;2020-10-08 21:46:05.765133;36.2;52.582
mail;2020-10-08 21:46:06.767260;37.5;53.556
mail;2020-10-08 21:46:07.769445;45.7;53.069
mail;2020-10-08 21:46:08.771677;3.3;53.069
mail;2020-10-08 21:46:09.773507;34.2;52.095
mail;2020-10-08 21:46:10.775729;5.5;53.069
mail;2020-10-08 21:46:11.777594;47.2;52.582
mail;2020-10-08 21:46:12.779604;26.9;53.069
mail;2020-10-08 21:46:13.781835;37.0;54.043
mail;2020-10-08 21:46:14.785406;47.0;53.556
mail;2020-10-08 21:46:15.787505;12.4;53.556
mail;2020-10-08 21:46:16.789676;35.0;53.556
mail;2020-10-08 21:46:17.792073;70.9;53.556
mail;2020-10-08 21:46:18.794278;22.0;52.582
mail;2020-10-08 21:46:19.796693;28.0;53.069
mail;2020-10-08 21:46:20.800413;19.2;53.556
mail;2020-10-08 21:46:21.802168;31.3;54.043
mail;2020-10-08 21:46:22.807602;54.3;53.556
mail;2020-10-08 21:46:23.811155;31.6;54.043
mail;2020-10-08 21:46:24.813379;32.6;53.556
mail;2020-10-08 21:46:25.815496;13.6;52.095
mail;2020-10-08 21:46:26.817864;18.5;52.582
mail;2020-10-08 21:46:27.820047;16.7;54.043
mail;2020-10-08 21:46:28.822259;22.7;52.582
mail;2020-10-08 21:46:29.824460;18.0;51.608
mail;2020-10-08 21:46:30.826662;17.5;54.53
mail;2020-10-08 21:46:31.828610;20.2;52.582
mail;2020-10-08 21:46:32.829836;13.7;53.069
mail;2020-10-08 21:46:33.832071;12.5;53.069
mail;2020-10-08 21:46:34.833837;23.9;53.556
mail;2020-10-08 21:46:35.835811;81.7;54.53
mail;2020-10-08 21:46:36.837968;42.5;53.069
mail;2020-10-08 21:46:37.839991;46.9;53.556
mail;2020-10-08 21:46:38.841834;27.7;53.069
mail;2020-10-08 21:46:39.844035;24.8;54.043
mail;2020-10-08 21:46:40.846055;22.7;53.069
mail;2020-10-08 21:46:41.847812;8.1;52.095
mail;2020-10-08 21:46:42.849972;39.6;54.53
mail;2020-10-08 21:46:43.853046;75.1;54.043
mail;2020-10-08 21:46:44.855290;63.1;54.53
mail;2020-10-08 21:46:45.857455;85.3;55.017
mail;2020-10-08 21:46:46.859655;63.9;54.53
mail;2020-10-08 21:46:47.861824;50.8;54.043
mail;2020-10-08 21:46:48.863746;28.6;53.556
mail;2020-10-08 21:46:49.865839;39.2;53.556
mail;2020-10-08 21:46:50.867980;25.6;53.556
mail;2020-10-08 21:46:51.870160;16.0;52.582
mail;2020-10-08 21:46:52.872113;39.6;54.043
mail;2020-10-08 21:46:53.874344;32.9;53.069
mail;2020-10-08 21:46:54.876526;29.7;52.582
mail;2020-10-08 21:46:55.878724;10.7;53.069
mail;2020-10-08 21:46:56.880909;15.6;52.582
mail;2020-10-08 21:46:57.883059;23.2;53.069
mail;2020-10-08 21:46:58.885082;17.3;52.095
mail;2020-10-08 21:46:59.887035;17.7;53.556
mail;2020-10-08 21:47:00.888969;58.9;53.069
mail;2020-10-08 21:47:01.890977;39.7;53.069
mail;2020-10-08 21:47:02.892746;54.6;54.043
mail;2020-10-08 21:47:03.894581;21.4;53.069
mail;2020-10-08 21:47:04.896468;43.0;53.556
